City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Vila Velha,BR,88.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
11,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
13,Touros,BR,82.4,clear sky,-5.1989,-35.4608,INN NEW HORIZON
20,Auki,SB,79.79,broken clouds,-8.7676,160.7034,Auki Motel
22,Bintulu,MY,75.2,heavy intensity rain,3.1667,113.0333,900 Boutique INN
24,Puerto Ayora,EC,80.01,light rain,-0.7393,-90.3518,Castillo Galapagos
27,Rikitea,PF,80.02,scattered clouds,-23.1203,-134.9692,Pension Maro'i
28,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
34,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
35,Inirida,CO,83.59,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
39,General Roca,AR,84.2,clear sky,-39.0333,-67.5833,Hotel El Recreo
42,Butaritari,KI,80.35,light rain,3.0707,172.7902,Isles Sunset Lodge
43,Moengo,SR,81.63,broken clouds,5.6167,-54.4,Masanga
45,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
50,Roebourne,AU,86.38,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
61,Caravelas,BR,80.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
62,Port Blair,IN,76.95,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
63,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
70,Kavaratti,IN,81.03,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
78,Labrea,BR,84.22,light rain,-7.2586,-64.7981,Hotel Novo Horizonte
79,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
84,Cidreira,BR,79.61,broken clouds,-30.1811,-50.2056,Hotel Castelo
85,Vieques,PR,82.4,broken clouds,18.425,-65.8329,Melia Coco Beach
87,Kapaa,US,75.99,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
90,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
95,Yulara,AU,75.2,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
101,Prieska,ZA,75.94,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
104,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
106,Hithadhoo,MV,78.93,light rain,-0.6,73.0833,Scoop Guest House
109,Muisne,EC,78.8,light rain,0.6,-80.0333,Quinta Samay
114,Belmonte,BR,80.6,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
116,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
121,Ambilobe,MG,76.21,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
124,Gabu,GW,83.05,clear sky,12.2833,-14.2167,Hotel karsa
125,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
126,San Patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
136,Talara,PE,86.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
137,Malakal,SS,82.9,clear sky,9.5334,31.6605,Nile Palace Hotel
138,Ambon,ID,84.99,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
140,Chuy,UY,85.57,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
143,Gualaquiza,EC,76.69,light rain,-3.4,-78.55,Hotel Merceditas
144,Nelson Bay,AU,75.2,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
147,Ilo,PE,75.79,clear sky,-17.6394,-71.3375,Torreblanca Hotel
150,Linguere,SN,80.08,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
157,Trinidad,BO,77.0,moderate rain,-14.8333,-64.9,Hotel Piesta
158,Clarence Town,AU,78.01,broken clouds,-32.5833,151.7833,River Downs Cottage
169,Corrente,BR,79.59,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
174,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,Casa Tia Villa
175,Sao Filipe,CV,75.13,clear sky,14.8961,-24.4956,Tortuga B&B
179,Tefe,BR,80.6,scattered clouds,-3.3542,-64.7114,Aracati Hotel
181,Yaring,TH,75.49,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
182,Bonthe,SL,79.05,clear sky,7.5264,-12.505,Bonthe Holiday Village
184,Panacan,PH,76.15,few clouds,9.2463,118.4082,Mom's Place Resort
185,Victoria Point,AU,75.99,scattered clouds,-27.5833,153.3,Bay Retreat Motel
188,Mahibadhoo,MV,80.74,overcast clouds,3.7833,72.9667,Omadhoo Inn
193,Angoche,MZ,79.77,clear sky,-16.2325,39.9086,Guest House HESADA
195,Alofi,NU,77.0,moderate rain,-19.0595,-169.9187,Taloa Heights
203,Huarmey,PE,77.85,overcast clouds,-10.0681,-78.1522,Hotel Miramar
205,Tual,ID,82.92,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
208,Itarema,BR,82.17,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
209,Les Cayes,HT,80.76,overcast clouds,18.2,-73.75,Villa Orphee
212,Meulaboh,ID,75.69,broken clouds,4.1363,96.1285,Kost Pria
214,Chone,EC,80.1,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
216,Sao Francisco,BR,86.32,broken clouds,-15.9486,-44.8644,Pousada Peixe Vivo
218,Richards Bay,ZA,79.75,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
220,Cairns,AU,75.2,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
225,Chimore,BO,79.68,light rain,-16.9833,-65.1333,Bichito
231,Mahanoro,MG,76.91,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
234,Presidencia Roque Saenz Pena,AR,79.39,overcast clouds,-26.7852,-60.4388,Hotel Gualok
235,Gigmoto,PH,77.22,broken clouds,13.7796,124.39,Cj's Travellers Inn
238,Coahuayana,MX,82.4,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
239,Macenta,GN,75.13,clear sky,8.5435,-9.471,Hôtel Yansané
241,Chikwawa,MW,75.88,overcast clouds,-16.0335,34.8009,Thawale Lodge
249,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
259,Ewa Beach,US,77.0,light rain,21.3156,-158.0072,Base Lodging
261,Namibe,AO,77.14,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
268,Camocim,BR,82.09,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
272,Pisco,PE,78.8,dust,-13.7,-76.2167,Hotel San Isidro Oficial
276,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
278,Varadero,CU,84.2,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
279,Lorengau,PG,82.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
285,Omboue,GA,78.08,light rain,-1.5746,9.2618,Hotel Olako
287,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
292,Marsh Harbour,BS,76.62,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
293,Imbituba,BR,82.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
295,Charlestown,AU,75.99,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
304,Kulhudhuffushi,MV,80.83,overcast clouds,6.6221,73.07,Haajy Guest House 1
305,Portobelo,PA,89.01,scattered clouds,9.55,-79.65,Scuba Portobelo
306,Lucea,JM,84.2,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
307,Faanui,PF,81.25,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,Sechura,PE,85.95,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
317,Maturin,VE,82.29,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
320,Kendari,ID,76.6,overcast clouds,-3.945,122.4989,Hotel Wixel
324,Vanimo,PG,78.15,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
328,Kalianget,ID,79.7,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
337,Manta,EC,82.4,scattered clouds,-0.95,-80.7333,Balandra Hotel
339,Kuching,MY,75.2,moderate rain,1.55,110.3333,Hilton Kuching
341,Bontang,ID,77.58,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
344,Kroya,ID,75.83,moderate rain,-7.6331,109.2461,RUSTANTO Fam
345,Ormond Beach,US,78.01,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
352,Poum,NC,80.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
354,Port Antonio,JM,87.01,few clouds,18.18,-76.4612,Trident Hotel
355,Axim,GH,79.32,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
362,Koumac,NC,78.3,broken clouds,-20.5667,164.2833,Le Monitel
374,Samarai,PG,81.03,light rain,-10.6167,150.6667,Nuli Sapi
376,Bequimao,BR,82.4,broken clouds,-2.4489,-44.7825,Casa Dom Joaquim
378,Monrovia,LR,80.6,mist,6.3005,-10.7969,Sunset Inn
383,Banda Aceh,ID,77.95,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
388,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
395,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
396,Jega,NG,78.13,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
399,Port-Gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
401,Barillas,GT,82.4,clear sky,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
409,Wajid,SO,78.35,clear sky,3.8093,43.2471,xamdihotelresturant114
411,Kinango,KE,78.8,few clouds,-4.1372,39.3153,Legacy Hotel
412,Buchanan,LR,80.6,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
413,Kirakira,SB,82.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
415,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
416,Singkang,MY,75.2,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
424,Carutapera,BR,83.37,scattered clouds,-1.195,-46.02,Lidera
425,Takoradi,GH,79.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
428,Alugan,PH,78.19,overcast clouds,12.2188,125.4808,JM Lodge
429,Pitimbu,BR,82.4,few clouds,-7.4706,-34.8086,Reserva do Abiaí
434,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
442,Porto Novo,BJ,84.2,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
443,Labuhan,ID,77.72,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
445,San Estanislao,CO,87.8,scattered clouds,10.3983,-75.1511,Hostal Bugambilia
446,Beira,MZ,82.0,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
453,Salinopolis,BR,82.69,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
459,Miri,MY,75.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
462,Padang,ID,75.2,overcast clouds,-0.9492,100.3543,Mercure Padang
465,Ilhabela,BR,81.86,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
467,Cartagena,CO,87.8,scattered clouds,10.3997,-75.5144,Costa Del Sol
468,Lekoni,GA,76.37,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
469,Guabito,PA,82.4,broken clouds,9.5,-82.6167,Cabinas Sanchez Salazar
477,Grand Gaube,MU,75.99,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
478,Kimbe,PG,76.3,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
482,Maldonado,UY,84.99,broken clouds,-34.6667,-54.9167,La Cimarrona
487,Loiza,PR,82.4,broken clouds,18.4313,-65.8802,Malibu Beachfront
492,Del Rio,US,78.8,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
494,Moree,AU,75.2,overcast clouds,-29.4667,149.85,Molika Springs Motel
495,Caldas Novas,BR,83.14,overcast clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
497,Mount Isa,AU,77.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
502,Bubaque,GW,78.21,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
512,Christchurch,NZ,82.4,clear sky,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
519,Pozo Colorado,PY,84.31,light rain,-23.4923,-58.7972,Hospedaje la Amistad
520,Punta Alta,AR,82.08,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
521,Prado,BR,79.74,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
525,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
532,Kpandae,GH,86.77,few clouds,8.4689,-0.0113,S. Amaski Guest House
536,Celestun,MX,85.05,clear sky,20.8667,-90.4,Posada Lilia
539,The Valley,AI,78.8,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
541,Wad Madani,SD,80.06,scattered clouds,14.4012,33.5199,فندق يوغسلافيا
558,Jacareacanga,BR,78.8,moderate rain,-6.2222,-57.7528,Casa do Ian😎
566,Boa Vista,BR,87.8,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
571,Anito,PH,77.88,overcast clouds,12.4497,125.2886,The Yellow House
580,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,Villa Maido
581,Gualeguay,AR,82.02,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
585,Gusau,NG,75.7,broken clouds,12.1628,6.6614,Dr. Salisu Ibrahim
589,Trincomalee,LK,77.16,broken clouds,8.5711,81.2335,Welcombe Hotel
590,Makakilo City,US,77.0,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
591,Tecoanapa,MX,83.52,clear sky,16.5167,-98.75,Hotel Manglares
592,Sainte-Rose,GP,78.8,few clouds,16.3324,-61.6979,Villa - Duzer
597,Formosa Do Rio Preto,BR,89.11,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
598,Manjacaze,MZ,75.7,overcast clouds,-24.7117,33.8828,Hotel Gani
603,Pangai,TO,78.8,light rain,-19.8,-174.35,Ha'apai Beach Resort
609,Malindi,KE,80.6,clear sky,-3.2175,40.1191,African House Resort
610,Tres Arroyos,AR,87.48,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
617,Namatanai,PG,80.33,light rain,-3.6667,152.4333,Namatanai Hotel
619,Goya,AR,75.2,broken clouds,-29.14,-59.2626,Apart Costanera
623,Norsup,VU,81.3,light rain,-16.0667,167.3833,Nabelchel Bungalows
624,Tonantins,BR,86.97,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
625,Tiarei,PF,84.2,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
630,Gemena,CD,78.19,few clouds,3.25,19.7667,Hôtel Goshen
633,Baillif,GP,78.8,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
636,San Lorenzo,PY,87.8,scattered clouds,-25.3333,-57.5333,Canarias Hotel
637,Toamasina,MG,78.8,scattered clouds,-18.1667,49.3833,Hotel H1
641,Port Hedland,AU,80.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
647,Gizo,SB,83.5,broken clouds,-8.103,156.8419,Imagination Island
648,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
650,Saint-Georges,GD,82.4,scattered clouds,12.0564,-61.7485,Siesta Hotel
664,Vallenar,CL,84.24,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
666,Paraiso,CR,78.8,few clouds,9.8383,-83.8656,Rinconcito Verde
